Chromosome	Start	End	Strand	gene_id	transcript_id
chr1	11868	14409	+	ENSG00000290825.1	ENST00000456328.2
chr1	12009	13670	+	ENSG00000223972.6	ENST00000450305.2
chr1	30365	30503	+	ENSG00000284332.1	ENST00000607096.1
chr1	52472	53312	+	ENSG00000268020.3	ENST00000606857.1
chr1	57597	64116	+	ENSG00000290826.1	ENST00000642116.1
chr1	62948	63887	+	ENSG00000240361.3	ENST00000492842.2
chr1	65418	71585	+	ENSG00000186092.7	ENST00000641515.2
chr1	131024	134836	+	ENSG00000233750.3	ENST00000442987.3
chr1	160445	161525	+	ENSG00000241599.1	ENST00000496488.1
chr1	182695	184174	+	ENSG00000279928.2	ENST00000624431.2
chr1	266854	268655	+	ENSG00000286448.1	ENST00000669836.1
chr1	439869	440232	+	ENSG00000269732.1	ENST00000437905.2
chr1	487100	489906	+	ENSG00000233653.3	ENST00000432723.3
chr1	629061	629433	+	ENSG00000225972.1	ENST00000416931.1
chr1	629639	630683	+	ENSG00000225630.1	ENST00000457540.1
chr1	631073	632616	+	ENSG00000237973.1	ENST00000414273.1
chr1	632756	633438	+	ENSG00000229344.1	ENST00000427426.1
chr1	633534	633741	+	ENSG00000240409.1	ENST00000467115.1
chr1	633695	634376	+	ENSG00000248527.1	ENST00000514057.1
chr1	634375	634922	+	ENSG00000198744.5	ENST00000416718.2
chr1	674841	675265	+	ENSG00000268663.1	ENST00000438434.2
chr1	722091	724903	+	ENSG00000229376.3	ENST00000440782.3
chr1	760910	761989	+	ENSG00000229905.1	ENST00000422528.1
chr1	781936	782050	+	ENSG00000285268.1	ENST00000644482.1
chr1	817370	819837	+	ENSG00000177757.2	ENST00000326734.2
chr1	873291	874349	+	ENSG00000234711.1	ENST00000415481.1
chr1	904833	915976	+	ENSG00000272438.1	ENST00000607769.1
chr1	911434	914948	+	ENSG00000230699.2	ENST00000448179.1
chr1	914170	914971	+	ENSG00000241180.1	ENST00000398216.2
chr1	1055032	1056116	+	ENSG00000242590.1	ENST00000418300.1
chr1	1063078	1069355	+	ENSG00000217801.13	ENST00000412397.2
chr1	1097584	1104598	+	ENSG00000285812.1	ENST00000648183.1
chr1	1137016	1144056	+	ENSG00000223823.1	ENST00000416774.1
chr1	1167103	1167198	+	ENSG00000207730.3	ENST00000384997.3
chr1	1167862	1167952	+	ENSG00000207607.3	ENST00000384875.3
chr1	1169004	1169087	+	ENSG00000198976.1	ENST00000362106.1
chr1	1169356	1170343	+	ENSG00000272141.1	ENST00000606993.1
chr1	1232236	1235041	+	ENSG00000176022.7	ENST00000379198.5
chr1	1331279	1335314	+	ENSG00000169962.5	ENST00000339381.6
chr1	1378665	1379032	+	ENSG00000223663.2	ENST00000435351.2
chr1	1409095	1410618	+	ENSG00000272455.1	ENST00000607307.1
chr1	1420244	1422691	+	ENSG00000225905.1	ENST00000428932.1
chr1	1425870	1430255	+	ENSG00000205116.4	ENST00000378821.4
chr1	1503581	1509351	+	ENSG00000284740.3	ENST00000641679.1
chr1	1600313	1602703	+	ENSG00000286989.1	ENST00000658591.1
chr1	1659324	1662602	+	ENSG00000272004.1	ENST00000607013.1
chr1	1699941	1701782	+	ENSG00000215914.4	ENST00000234610.5
chr1	2212522	2220738	+	ENSG00000234396.3	ENST00000442483.2
chr1	2566409	2569888	+	ENSG00000225931.3	ENST00000456687.3
chr1	2581559	2584533	+	ENSG00000228037.1	ENST00000424215.1
chr1	2585609	2586060	+	ENSG00000289610.2	ENST00000686752.2
chr1	2632567	2636620	+	ENSG00000237058.1	ENST00000427302.1
chr1	2768090	2784733	+	ENSG00000285945.1	ENST00000648684.1
chr1	2773602	2776473	+	ENSG00000283259.1	ENST00000638002.1
chr1	2814055	2817767	+	ENSG00000287396.1	ENST00000664694.1
chr1	3021466	3022903	+	ENSG00000169717.7	ENST00000378404.4
chr1	3127974	3128035	+	ENSG00000283572.1	ENST00000635819.1
chr1	3205987	3208664	+	ENSG00000279839.1	ENST00000624175.1
chr1	3487245	3487627	+	ENSG00000272088.1	ENST00000606489.1
chr1	3736942	3737103	+	ENSG00000276189.1	ENST00000611447.1
chr1	3782814	3783111	+	ENSG00000266075.2	ENST00000581512.2
chr1	3785007	3785538	+	ENSG00000272153.1	ENST00000607459.1
chr1	4973380	4981568	+	ENSG00000284674.1	ENST00000641403.1
chr1	5492977	5494674	+	ENSG00000260972.1	ENST00000564261.1
chr1	5554746	5554881	+	ENSG00000283356.1	ENST00000637697.1
chr1	5564070	5564143	+	ENSG00000264341.1	ENST00000579887.1
chr1	6393554	6394391	+	ENSG00000271746.1	ENST00000607670.1
chr1	6540853	6540964	+	ENSG00000253022.1	ENST00000517213.1
chr1	6547904	6548619	+	ENSG00000229519.2	ENST00000456162.2
chr1	6767953	6770038	+	ENSG00000284744.1	ENST00000641757.1
chr1	7219359	7219524	+	ENSG00000207056.1	ENST00000384328.1
chr1	7368941	7370270	+	ENSG00000237402.1	ENST00000427317.1
chr1	7776382	7776775	+	ENSG00000269925.1	ENST00000602406.1
chr1	7942371	7942726	+	ENSG00000270330.1	ENST00000603760.1
chr1	8026737	8122702	+	ENSG00000238290.1	ENST00000445300.1
chr1	8189823	8192770	+	ENSG00000229305.1	ENST00000453364.1
chr1	8191691	8194926	+	ENSG00000288816.1	ENST00000684850.1
chr1	8328066	8328179	+	ENSG00000252254.1	ENST00000516445.1
chr1	8512652	8513021	+	ENSG00000270282.1	ENST00000605785.1
chr1	8750429	8751087	+	ENSG00000234619.1	ENST00000437586.1
chr1	8798474	8799506	+	ENSG00000226545.1	ENST00000445254.1
chr1	8831006	8831375	+	ENSG00000229716.2	ENST00000436229.2
chr1	8878834	8879894	+	ENSG00000230679.1	ENST00000442636.1
chr1	8893408	8894151	+	ENSG00000238249.2	ENST00000425872.1
chr1	8909741	8909904	+	ENSG00000232663.2	ENST00000431968.2
chr1	9082695	9082879	+	ENSG00000252404.1	ENST00000516595.1
chr1	9539464	9585173	+	ENSG00000171612.7	ENST00000302692.7
chr1	9576426	9576985	+	ENSG00000231181.1	ENST00000435277.1
chr1	9780821	9781240	+	ENSG00000271264.1	ENST00000603781.1
chr1	9848317	9850154	+	ENSG00000223989.1	ENST00000454104.1
chr1	9900613	9908034	+	ENSG00000285701.1	ENST00000648956.1
chr1	9942922	9949974	+	ENSG00000228150.1	ENST00000445884.1
chr1	9947317	9947636	+	ENSG00000202415.1	ENST00000365545.1
chr1	9967380	9967458	+	ENSG00000265521.1	ENST00000578045.1
chr1	9983140	9984568	+	ENSG00000241326.1	ENST00000413148.1
chr1	10058670	10059648	+	ENSG00000233623.2	ENST00000416729.2
chr1	10163267	10163374	+	ENSG00000201746.1	ENST00000364876.1
chr1	10227717	10227803	+	ENSG00000264881.1	ENST00000577266.1
chr1	10298965	10299072	+	ENSG00000199562.1	ENST00000362692.1
chr1	10306464	10306757	+	ENSG00000264501.2	ENST00000584329.2
chr1	10450030	10451998	+	ENSG00000241563.4	ENST00000377049.4
chr1	10458554	10459338	+	ENSG00000203469.2	ENST00000424487.1
chr1	10616835	10617115	+	ENSG00000243267.3	ENST00000461850.3
chr1	10639240	10654333	+	ENSG00000272078.1	ENST00000606802.1
chr1	10895760	10895998	+	ENSG00000225158.2	ENST00000450782.2
chr1	11068470	11073097	+	ENSG00000226849.1	ENST00000452378.1
chr1	11152349	11152452	+	ENSG00000253086.1	ENST00000517277.1
chr1	11226253	11226360	+	ENSG00000207451.1	ENST00000384720.1
chr1	11232962	11233112	+	ENSG00000238173.1	ENST00000448289.1
chr1	11609467	11613358	+	ENSG00000235643.2	ENST00000453135.2
chr1	11623557	11643416	+	ENSG00000284708.1	ENST00000642131.1
chr1	11691709	11725857	+	ENSG00000162490.7	ENST00000294485.6
chr1	11843811	11843984	+	ENSG00000276470.1	ENST00000622391.1
chr1	11845548	11845697	+	ENSG00000278852.1	ENST00000618496.1
chr1	11847441	11847549	+	ENSG00000275915.1	ENST00000617059.1
chr1	11877769	11880406	+	ENSG00000224904.1	ENST00000438808.1
chr1	11908151	11908271	+	ENSG00000199347.1	ENST00000362477.1
chr1	12029157	12029222	+	ENSG00000276869.1	ENST00000618194.1
chr1	12166942	12167038	+	ENSG00000283789.1	ENST00000622420.1
chr1	12191712	12191773	+	ENSG00000263676.1	ENST00000584158.1
chr1	12507245	12507397	+	ENSG00000239149.1	ENST00000459326.1
chr1	12644084	12667076	+	ENSG00000204518.3	ENST00000376221.2
chr1	12692908	12693020	+	ENSG00000226166.2	ENST00000436879.2
chr1	12773737	12777906	+	ENSG00000116726.5	ENST00000357726.5
chr1	12857085	12861909	+	ENSG00000120952.4	ENST00000240189.2
chr1	12922553	12922660	+	ENSG00000207434.1	ENST00000384703.1
chr1	12926161	12928253	+	ENSG00000234064.1	ENST00000418187.1
chr1	13029338	13032130	+	ENSG00000274178.2	ENST00000610289.2
chr1	13128817	13131615	+	ENSG00000229978.2	ENST00000448180.1
chr1	13129792	13131409	+	ENSG00000290772.1	ENST00000434606.1
chr1	13171847	13179459	+	ENSG00000204505.5	ENST00000415919.3
chr1	13245862	13248652	+	ENSG00000250894.1	ENST00000504262.1
chr1	13254197	13263435	+	ENSG00000270601.5	ENST00000622421.3
chr1	13303538	13308907	+	ENSG00000237700.2	ENST00000437300.2
chr1	13315580	13322598	+	ENSG00000204501.7	ENST00000376152.2
chr1	13324038	13324518	+	ENSG00000228229.2	ENST00000432559.2
chr1	13389631	13392629	+	ENSG00000204479.4	ENST00000376098.4
chr1	13410449	13421328	+	ENSG00000204478.11	ENST00000602960.2
chr1	13513219	13516270	+	ENSG00000259961.1	ENST00000563570.1
chr1	13555000	13555694	+	ENSG00000215909.3	ENST00000401091.2
chr1	13757777	13758465	+	ENSG00000289380.1	ENST00000690275.1
chr1	15226372	15227549	+	ENSG00000278480.1	ENST00000612442.1
chr1	15542164	15542304	+	ENSG00000251866.1	ENST00000516057.1
chr1	15604596	15605043	+	ENSG00000235084.3	ENST00000454346.1
chr1	15659712	15662033	+	ENSG00000215695.2	ENST00000345034.2
chr1	15792795	15793285	+	ENSG00000224321.1	ENST00000431782.1
chr1	15828231	15828669	+	ENSG00000178715.8	ENST00000321418.6
chr1	15969631	15970194	+	ENSG00000234607.2	ENST00000416882.2
chr1	15988181	15988441	+	ENSG00000231353.1	ENST00000424379.1
chr1	15989870	15994751	+	ENSG00000224966.4	ENST00000505954.1
chr1	16004235	16008807	+	ENSG00000183888.4	ENST00000329454.2
chr1	16155175	16158148	+	ENSG00000227959.2	ENST00000424774.2
chr1	16159265	16161883	+	ENSG00000224621.1	ENST00000426353.1
chr1	16197853	16198357	+	ENSG00000234166.1	ENST00000457809.1
chr1	16460947	16468481	+	ENSG00000226029.1	ENST00000457898.1
chr1	16514644	16515754	+	ENSG00000261135.1	ENST00000562878.1
chr1	16515033	16521788	+	ENSG00000285853.1	ENST00000648419.1
chr1	16520693	16521796	+	ENSG00000224174.2	ENST00000452795.2
chr1	16617390	16617729	+	ENSG00000271732.1	ENST00000607700.1
chr1	16645621	16650289	+	ENSG00000186301.8	ENST00000457982.3
chr1	16656878	16667524	+	ENSG00000282143.1	ENST00000633763.1
chr1	16701545	16705594	+	ENSG00000279151.1	ENST00000624517.1
chr1	16740279	16750968	+	ENSG00000290850.1	ENST00000633627.1
chr1	16740515	16740679	+	ENSG00000207389.1	ENST00000384659.1
chr1	16750232	16750964	+	ENSG00000227684.3	ENST00000457096.1
chr1	16855406	16859284	+	ENSG00000230239.1	ENST00000414128.1
chr1	16873707	16873851	+	ENSG00000277234.1	ENST00000362684.1
chr1	16889094	16889602	+	ENSG00000235241.1	ENST00000453917.1
chr1	16895979	16896143	+	ENSG00000207005.1	ENST00000384278.1
chr1	16905198	16905396	+	ENSG00000290122.1	ENST00000703056.1
chr1	16976301	16977792	+	ENSG00000286898.1	ENST00000654887.1
chr1	16978925	17005091	+	ENSG00000226526.1	ENST00000446261.1
chr1	17249097	17284233	+	ENSG00000142619.4	ENST00000375460.3
chr1	17277888	17277975	+	ENSG00000266634.1	ENST00000582732.1
chr1	17372195	17401699	+	ENSG00000276747.1	ENST00000619609.1
chr1	17406759	17407382	+	ENSG00000227751.1	ENST00000439577.1
chr1	18015711	18045612	+	ENSG00000284653.1	ENST00000641892.1
chr1	18065656	18074412	+	ENSG00000261781.1	ENST00000569711.1
chr1	18109388	18115861	+	ENSG00000280222.1	ENST00000624418.1
chr1	18385828	18388514	+	ENSG00000225387.1	ENST00000420211.1
chr1	18480929	18485974	+	ENSG00000179023.9	ENST00000400664.3
chr1	18513117	18513383	+	ENSG00000235282.3	ENST00000596113.1
chr1	18595413	18595636	+	ENSG00000225478.2	ENST00000450125.2
chr1	19297079	19297903	+	ENSG00000270728.1	ENST00000604801.1
chr1	19424383	19424671	+	ENSG00000240490.3	ENST00000481521.3
chr1	19510592	19510733	+	ENSG00000201609.1	ENST00000364739.1
chr1	19608113	19608568	+	ENSG00000226396.1	ENST00000457263.1
chr1	19664874	19680966	+	ENSG00000158748.4	ENST00000289753.2
