chr	start	end	gene_id	strand	PAS
chr1	141473	173862	ENSG00000241860.7	-	141473
chr1	587628	594768	ENSG00000235146.2	+	594768
chr1	817370	819837	ENSG00000177757.2	+	819837
chr1	824227	827539	ENSG00000225880.6	-	824227
chr1	868070	876903	ENSG00000230368.2	-	868070
chr1	923922	944575	ENSG00000187634.13	+	944575
chr1	1249776	1251334	ENSG00000260179.1	-	1249776
chr1	1308596	1311677	ENSG00000169972.13	+	1311677
chr1	1335275	1349418	ENSG00000107404.21	-	1335275
chr1	1352688	1361777	ENSG00000162576.17	-	1352688
chr1	1418419	1421769	ENSG00000235098.9	-	1418419
chr1	1598011	1600135	ENSG00000228594.4	-	1598011
chr1	1915107	1917296	ENSG00000169885.10	+	1917296
chr1	2141083	2145279	ENSG00000271806.1	-	2141083
chr1	2212522	2220738	ENSG00000234396.3	+	2220738
chr1	2492299	2493258	ENSG00000224387.1	-	2492299
chr1	2425979	2505532	ENSG00000149527.18	+	2505532
chr1	2590638	2633016	ENSG00000142606.16	-	2590638
chr1	2814431	2814998	ENSG00000231630.1	-	2814431
chr1	3021466	3022903	ENSG00000169717.7	+	3022903
chr1	3630766	3652761	ENSG00000116213.16	-	3630766
chr1	3712199	3714298	ENSG00000235131.1	-	3712199
chr1	3746459	3771645	ENSG00000162592.10	+	3771645
chr1	3785007	3785538	ENSG00000272153.1	+	3785538
chr1	4412026	4424689	ENSG00000235054.4	+	4424689
chr1	5492977	5494674	ENSG00000260972.1	+	5494674
chr1	6393554	6394391	ENSG00000271746.1	+	6394391
chr1	6443033	6447006	ENSG00000231868.1	-	6443033
chr1	6460785	6466175	ENSG00000215788.11	-	6460785
chr1	6724636	6730012	ENSG00000228750.7	+	6730012
chr1	6783891	6784843	ENSG00000237436.1	-	6783891
chr1	7368941	7370270	ENSG00000237402.1	+	7370270
chr1	7382486	7389754	ENSG00000237728.2	-	7382486
chr1	7700703	7700970	ENSG00000269978.1	-	7700703
chr1	7776382	7776775	ENSG00000269925.1	+	7776775
chr1	8218189	8220529	ENSG00000233645.1	-	8218189
chr1	9652609	9654586	ENSG00000179840.5	-	9652609
chr1	9983140	9984568	ENSG00000241326.1	+	9984568
chr1	9997205	10016021	ENSG00000162444.12	+	10016021
chr1	10398591	10420511	ENSG00000142657.21	+	10420511
chr1	11099429	11102105	ENSG00000230337.3	+	11102105
chr1	11609467	11613358	ENSG00000235643.2	+	11613358
chr1	11845708	11848345	ENSG00000175206.11	-	11845708
chr1	11857463	11858945	ENSG00000120937.9	-	11857463
chr1	11908151	11908271	ENSG00000199347.1	+	11908271
chr1	11934204	11975538	ENSG00000083444.17	+	11975538
chr1	12019465	12032045	ENSG00000116691.11	+	12032045
chr1	12618899	12619980	ENSG00000272482.2	-	12618899
chr1	12773737	12777906	ENSG00000116726.5	+	12777906
chr1	12791396	12796628	ENSG00000116721.9	+	12796628
chr1	12824604	12831410	ENSG00000239810.3	-	12824604
chr1	13315580	13322598	ENSG00000204501.7	+	13322598
chr1	13341891	13347134	ENSG00000204481.8	-	13341891
chr1	13474972	13514003	ENSG00000162494.6	-	13474972
chr1	15152531	15220478	ENSG00000171729.14	+	15220478
chr1	15456727	15472091	ENSG00000142615.8	+	15472091
chr1	15465908	15491395	ENSG00000215704.10	+	15491395
chr1	15682872	15683128	ENSG00000271742.1	-	15682872
chr1	15720311	15736896	ENSG00000237938.5	-	15720311
chr1	15941868	15976132	ENSG00000116809.12	-	15941868
chr1	16004235	16008807	ENSG00000183888.4	+	16008807
chr1	16057768	16073651	ENSG00000185519.9	-	16057768
chr1	16155175	16158148	ENSG00000227959.2	+	16158148
chr1	16215906	16217425	ENSG00000291077.1	-	16215906
chr1	16514644	16515754	ENSG00000261135.1	+	16515754
chr1	16515033	16521788	ENSG00000285853.1	+	16521788
chr1	16618252	16644686	ENSG00000291072.1	-	16618252
chr1	16701545	16705594	ENSG00000279151.1	+	16705594
chr1	16870944	16883659	ENSG00000228549.5	+	16883659
chr1	16904338	16904776	ENSG00000272426.1	-	16904338
chr1	16974501	16980632	ENSG00000117122.14	-	16974501
chr1	16985957	17011928	ENSG00000159363.19	-	16985957
chr1	17193231	17201733	ENSG00000282843.1	-	17193231
chr1	17205127	17246007	ENSG00000142623.11	+	17246007
chr1	17249097	17284233	ENSG00000142619.4	+	17284233
chr1	17717624	17749978	ENSG00000236648.2	+	17749978
chr1	18065656	18074412	ENSG00000261781.1	+	18074412
chr1	18480929	18485974	ENSG00000179023.9	+	18485974
chr1	18839598	18859660	ENSG00000179002.6	-	18839598
chr1	18904279	18956676	ENSG00000169991.11	-	18904279
chr1	19303964	19312144	ENSG00000053371.13	-	19303964
chr1	19591801	19596832	ENSG00000235185.1	-	19591801
chr1	19814028	19815283	ENSG00000178828.7	-	19814028
chr1	19814366	19819502	ENSG00000235434.1	+	19819502
chr1	19882394	19912945	ENSG00000169914.6	+	19912945
chr1	19920008	19923617	ENSG00000188784.4	-	19920008
chr1	20139322	20150381	ENSG00000158786.5	+	20150381
chr1	20154170	20160568	ENSG00000227066.2	+	20160568
chr1	20243094	20244664	ENSG00000228105.2	+	20244664
chr1	20360578	20431234	ENSG00000236963.9	-	20360578
chr1	20478778	20480397	ENSG00000284743.1	-	20478778
chr1	20499447	20508151	ENSG00000090432.7	-	20499447
chr1	20552572	20555020	ENSG00000183114.8	+	20555020
chr1	20664013	20718017	ENSG00000117245.13	-	20664013
chr1	21596220	21669357	ENSG00000076864.21	-	21596220
chr1	22001656	22012542	ENSG00000142789.20	+	22012542
chr1	22652761	22661637	ENSG00000173369.18	+	22661637
chr1	23281306	23287488	ENSG00000261326.4	-	23281306
chr1	23506437	23531233	ENSG00000007968.7	-	23506437
chr1	23576435	23593621	ENSG00000285802.1	-	23576435
chr1	23791144	23795539	ENSG00000011009.11	+	23795539
chr1	23845076	23868290	ENSG00000179163.12	-	23845076
chr1	24119770	24143140	ENSG00000142677.4	-	24119770
chr1	24556086	24609328	ENSG00000184454.7	+	24609328
chr1	25272392	25330445	ENSG00000187010.21	+	25330445
chr1	25800192	25818221	ENSG00000162430.18	+	25818221
chr1	26169515	26171832	ENSG00000236782.8	-	26169515
chr1	26169907	26170873	ENSG00000142684.9	+	26170873
chr1	26190560	26202968	ENSG00000188782.9	+	26202968
chr1	26280085	26281522	ENSG00000142669.15	+	26281522
chr1	26281327	26318363	ENSG00000158062.21	-	26281327
chr1	26361633	26374522	ENSG00000176083.18	-	26361633
